,,,,,,,,,,,,,,,,
,Plan,Semestre,Tipo,Código,Asignatura,Sección,Tope,Aula,Docente,Nº DE HORAS,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SÁBADO
,2018,Ciclo 5,O,CFO501,OPTICA - LABORATORIO,U,25,215,MOISÉS GARCÍA SANTIVAÑEZ  (L),2,11-13,,,,,
,2018,Ciclo 5,O,CFO504,FÍSICA MATEMATICA III - TEORÍA,1,25,215,ROBERT MARINO ESPINOZA BERNANDO (T),3,8-11,,,,,
,2018,Ciclo 5,O,CFO504,FÍSICA MATEMATICA III - PRÁCTICA,1,25,215,ROBERT MARINO ESPINOZA BERNARDO (P),2,,,8-10,,,
,2018,Ciclo 5,O,CFO504,FÍSICA MATEMATICA III - TEORÍA,2,25,215,RICHARD SAÚL TORIBIO SAAVEDRA (T),3,14-17,,,,,
,2018,Ciclo 5,O,CFO504,FÍSICA MATEMATICA III - PRÁCTICA,2,25,215,RICHAR SAÚL TORIBIO SAAVEDRA (P),2,,,14-16,,,
,2018,Ciclo 5,O,CFO503,MECANICA CLASICA II - TEORÍA,U,25,215,FULGENCIO VILLEGAS SILVA (T),3,,10-13,,,,
,2018,Ciclo 5,O,CFO503,MECANICA CLASICA II - PRÁCTICA,U,25,215,FULGENCIO VILLEGAS SILVA (P),2,,,,10-12,,
,2018,Ciclo 5,O,CFO505,FISICA MODERNA I - TEORÍA,U,25,215,STHY FLORES DAORTA (T),3,,16-19,,,,
,2018,Ciclo 5,O,CFO505,FISICA MODERNA I - PRÁCTICA,U,25,215,STHY FLORES DAORTA  (P),2,,,,,16-18,
,2018,Ciclo 5,O,CFO502,FÍSICA COMPUTACIONAL II - TEORÍA,1,25,206,JUSTO ROJAS TAPIA (T),2,,,10-12,,,
,2018,Ciclo 5,O,CFO502,FÍSICA COMPUTACIONAL II - LABORATORIO,1,25,206,JUSTO ROJAS TAPIA  (L),4,,,12-13,,10-13,
,2018,Ciclo 5,O,CFO502,FÍSICA COMPUTACIONAL II - TEORÍA,2,25,206,ERICH MANRIQUE CASTILLO (T),2,,14-16,,,,
,2018,Ciclo 5,O,CFO502,FÍSICA COMPUTACIONAL II - LABORATORIO,2,25,206,ERICH MANRIQUE CASTILLO   (L),4,,,,14-16,14-16,
,2018,Ciclo 7,O,CFO701,ELECTROMAGNETISMO II - TEORÍA,U,25,313,FULGENCIO VILLEGAS SILVA (T),4,,14-17,,14-15,,
,2018,Ciclo 7,O,CFO701,ELECTROMAGNETISMO II - PRÁCTICA,U,25,313,FULGENCIO VILLEGAS SILVA  (P),2,,,,15-17,,
,2018,Ciclo 7,O,CFO702,FISICA ELECTRONICA II - TEORÍA,U,25,111,GILBERTO YACTAYO YACTAYO  (T),2,17-19,,,,,
